frame,method,recalled_events,eligible_events,recall,recall_95ci_low,recall_95ci_high,false_triggers,station_hours,false_triggers_per_hour,false_trigger_rate_95ci_low,false_trigger_rate_95ci_high
v0.1,tiny_cnn,1,6,0.16666666666666666,0.00421074451448947,0.6412345789976748,2932,2591.4666666666667,1.1314056390203746,1.0908194647648344,1.1731156389057618
v0.2,artifact_robust_cnn,0,3,0.0,0.0,0.7075982261787134,847,2651.4,0.3194538734253602,0.2982996264945896,0.3417123714064692
v0.3_grade_c,depthwise_cnn,12,63,0.19047619047619047,0.10248424359385706,0.3090884690855577,1306,1505.35,0.8675723253728369,0.8211521977471209,0.9159330751391367
