station,year,doy,block_id,day_in_block,selection_seed,prior_station_day_overlap,att_and_primary_mh_available,selected_primary_channel,selected_bytes,att_sample_rate_hz,waveform_sample_rate_hz,att_trace_start,att_trace_end,waveform_trace_start,waveform_trace_end,att_gap_fraction,att_longest_gap_seconds,waveform_gap_fraction,waveform_longest_gap_seconds,day_integrity_status,candidate_scan_window_count,passing_scan_window_count,scannable_union_seconds
S12,1977,113,levent-12117,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH2,1529881,1.65625,6.625,1977-04-23T00:00:00.050000Z,1977-04-23T23:59:58.238679Z,1977-04-23T00:00:00.144000Z,1977-04-23T23:59:58.785509Z,0.056436847475156884,2463.396226415094,0.056440341584089226,2463.396226415094,usable_integrity,1431,1338,81900
S12,1977,119,levent-12187,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1529881,1.65625,6.625,1977-04-29T00:00:00.569000Z,1977-04-30T00:00:01.776547Z,1977-04-29T00:00:00.682000Z,1977-04-30T00:00:02.342377Z,0.001837837082381222,53.132075471698116,0.0014954263712151387,53.132075471698116,usable_integrity,1431,1431,86400
S14,1971,059,levent-00838,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1529881,1.65625,6.625,1971-02-28T00:00:00.032000Z,1971-03-01T00:00:05.465962Z,1971-02-28T00:00:00.145000Z,1971-03-01T00:00:06.031792Z,0.0008035776675284746,36.83018867924528,0.0008035776675284746,36.83018867924528,usable_integrity,1431,1431,86400
S14,1971,072,levent-00892,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1529881,1.65625,6.625,1971-03-13T00:00:00.282000Z,1971-03-14T00:00:04.508415Z,1971-03-13T00:00:00.395000Z,1971-03-14T00:00:05.074245Z,0.01547782094641809,768.0,0.015488302540738463,768.0,usable_integrity,1431,1395,85320
S14,1971,303,levent-02131,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1533977,1.65625,6.625,1971-10-30T00:00:00.478000Z,1971-10-31T00:00:05.911962Z,1971-10-30T00:00:00.591000Z,1971-10-31T00:00:06.477792Z,0.006757040039130738,381.58490566037733,0.006786737474669834,381.58490566037733,usable_integrity,1431,1418,86160
S14,1972,046,levent-02796,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881,1.65625,6.625,1972-02-15T00:00:00.462000Z,1972-02-16T00:00:04.688415Z,1972-02-15T00:00:00.537000Z,1972-02-16T00:00:05.216245Z,0.004402269614556838,280.75471698113205,0.004435461329904688,280.75471698113205,usable_integrity,1431,1420,86280
S14,1972,167,levent-03770,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881,1.65625,6.625,1972-06-15T00:00:00.507433Z,1972-06-16T00:00:04.130075Z,1972-06-15T00:00:00.582433Z,1972-06-16T00:00:04.657905Z,0.11554291544089387,5029.433962264151,0.1155516501638634,5029.433962264151,questionable_integrity,1431,1257,76500
S14,1974,040,levent-07657,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881,1.65625,6.625,1974-02-09T00:00:00.157000Z,1974-02-10T00:00:04.987189Z,1974-02-09T00:00:00.232000Z,1974-02-10T00:00:05.515019Z,0.0065614321950401445,202.26415094339623,0.006615586720611561,202.26415094339623,usable_integrity,1431,1409,85620
S14,1974,096,levent-07930,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1533977,1.65625,6.625,1974-04-06T00:00:00.553000Z,1974-04-07T00:00:04.779415Z,1974-04-06T00:00:00.628000Z,1974-04-07T00:00:05.307245Z,0.020201526120133047,597.1320754716982,0.02026092182128183,597.1320754716982,usable_integrity,1431,1384,85200
S14,1974,246,levent-08466,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881,1.65625,6.625,1974-09-03T00:00:00.319000Z,1974-09-04T00:00:04.545415Z,1974-09-03T00:00:00.394000Z,1974-09-04T00:00:05.073245Z,0.0008385275456298739,4.830188679245283,0.0010097269195293065,4.830188679245283,usable_integrity,1431,1431,86400
S14,1974,303,levent-08667,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881,1.65625,6.625,1974-10-30T00:01:29.101846Z,1974-10-31T00:00:04.573544Z,1974-10-30T00:01:29.176846Z,1974-10-31T00:00:05.101374Z,0.002979833660928505,96.0,0.0030200544204363427,96.0,usable_integrity,1431,1431,86400
S14,1974,360,levent-08870,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1533977,1.65625,6.625,1974-12-26T00:00:00.354000Z,1974-12-27T00:00:05.184189Z,1974-12-26T00:00:00.429000Z,1974-12-27T00:00:05.712019Z,0.006281924966284441,169.0566037735849,0.0064653515851553715,169.0566037735849,usable_integrity,1431,1408,86400
S14,1975,188,levent-09431,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH2,1529881,1.65625,6.625,1975-07-07T00:00:00.252000Z,1975-07-08T00:00:01.459547Z,1975-07-07T00:00:00.346000Z,1975-07-08T00:00:02.006377Z,0.012061242601482848,261.4339622641509,0.012129375345031201,261.4339622641509,usable_integrity,1431,1397,85980
S14,1976,209,levent-10837,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH2,1529881,1.65625,6.625,1976-07-27T00:00:00.454000Z,1976-07-28T00:00:00.454000Z,1976-07-27T00:00:00.548000Z,1976-07-28T00:00:01.000830Z,0.017253548193234148,998.0377358490566,0.01727276538948016,998.0377358490566,usable_integrity,1431,1393,85200
S14,1976,246,levent-11038,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1529881,1.65625,6.625,1976-09-02T00:00:00.577000Z,1976-09-03T00:00:03.595868Z,1976-09-02T00:00:00.652000Z,1976-09-03T00:00:04.123698Z,0.0001956591617402485,7.849056603773585,0.0002061409025477618,7.849056603773585,usable_integrity,1431,1431,86400
S14,1976,280,levent-11191,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1542169,1.65625,6.625,1976-10-06T00:00:00.087000Z,1976-10-07T00:00:04.917189Z,1976-10-06T00:00:00.162000Z,1976-10-07T00:00:05.445019Z,0.06257468083768317,2549.735849056604,0.06324375126651713,2549.735849056604,usable_integrity,1431,1318,81780
S14,1977,121,levent-12227,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MH1,1533977,1.65625,6.625,1977-05-01T00:00:00.230000Z,1977-05-02T00:00:06.267736Z,1977-05-01T00:00:00.305000Z,1977-05-02T00:00:06.795566Z,0.03657999734471844,3003.169811320755,0.03670752073565275,3003.169811320755,usable_integrity,1431,1367,83580
S14,1977,236,levent-12900,1,lunaseis-grade-c-impact-challenge-v0.3,0,1,MHZ,1529881,1.65625,6.625,1977-08-24T00:00:00.347000Z,1977-08-25T00:00:06.384736Z,1977-08-24T00:00:00.460000Z,1977-08-25T00:00:06.950566Z,0.016204205127488453,1380.8301886792453,0.016214686502085792,1380.8301886792453,usable_integrity,1431,1402,85200
