station,year,doy,block_id,day_in_block,selection_seed,prior_station_day_overlap,att_and_primary_mh_available,selected_primary_channel,selected_bytes
S14,1975,359,S14_B2,14,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1529881
S15,1973,314,S15_B1,1,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1973,315,S15_B1,2,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1973,316,S15_B1,3,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1973,317,S15_B1,4,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1973,318,S15_B1,5,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1973,319,S15_B1,6,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1973,320,S15_B1,7,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1973,321,S15_B1,8,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1533977
S15,1973,322,S15_B1,9,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1973,323,S15_B1,10,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1973,324,S15_B1,11,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1973,325,S15_B1,12,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1973,326,S15_B1,13,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1973,327,S15_B1,14,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1975,347,S15_B2,1,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1975,348,S15_B2,2,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1975,349,S15_B2,3,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1975,350,S15_B2,4,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1975,351,S15_B2,5,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1975,352,S15_B2,6,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1975,353,S15_B2,7,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1975,354,S15_B2,8,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1975,355,S15_B2,9,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1517593
S15,1975,356,S15_B2,10,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1525785
S15,1975,357,S15_B2,11,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1975,358,S15_B2,12,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1975,359,S15_B2,13,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S15,1975,360,S15_B2,14,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S16,1976,040,S16_B1,1,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S16,1976,041,S16_B1,2,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S16,1976,042,S16_B1,3,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S16,1976,043,S16_B1,4,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S16,1976,044,S16_B1,5,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S16,1976,045,S16_B1,6,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S16,1976,046,S16_B1,7,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S16,1976,047,S16_B1,8,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S16,1976,048,S16_B1,9,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S16,1976,049,S16_B1,10,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S16,1976,050,S16_B1,11,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S16,1976,051,S16_B1,12,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1533977
S16,1976,052,S16_B1,13,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1509401
S16,1976,053,S16_B1,14,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1509401
S16,1976,303,S16_B2,1,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S16,1976,304,S16_B2,2,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S16,1976,305,S16_B2,3,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1533977
S16,1976,306,S16_B2,4,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1533977
S16,1976,307,S16_B2,5,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1533977
S16,1976,308,S16_B2,6,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S16,1976,309,S16_B2,7,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S16,1976,310,S16_B2,8,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S16,1976,311,S16_B2,9,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S16,1976,312,S16_B2,10,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S16,1976,313,S16_B2,11,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S16,1976,314,S16_B2,12,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S16,1976,315,S16_B2,13,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
S16,1976,316,S16_B2,14,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881
